iter	Logloss
0	0.6011629258
1	0.531839687
2	0.4840339207
3	0.4429951337
4	0.4155281339
5	0.395544993
6	0.3792518953
7	0.363984652
8	0.3543045427
9	0.3467169743
10	0.3406389522
11	0.3344029696
12	0.3301008696
13	0.3264340507
14	0.3234539336
15	0.3209284281
16	0.3189310121
17	0.3168890193
18	0.3151355939
19	0.3137029906
20	0.3116247421
21	0.3101773936
22	0.3080545354
23	0.3070791298
24	0.3058361245
25	0.3046064291
26	0.3035549299
27	0.3027261
28	0.3018441869
29	0.3008040757
30	0.2998723042
31	0.2991919765
32	0.2983849512
33	0.29771801
34	0.2970129443
35	0.2961508467
36	0.2954948003
37	0.2946122761
38	0.2940166481
39	0.2931420226
40	0.2924070464
41	0.2917934394
42	0.2913389957
43	0.2908620173
44	0.2901618326
45	0.2897790598
46	0.2893593679
47	0.2890001157
48	0.2885418517
49	0.2881801041
50	0.2879264717
51	0.2875647212
52	0.2869575032
53	0.2864718419
54	0.2859046413
55	0.285594212
56	0.2851217416
57	0.2846240826
58	0.28408738
59	0.2837592144
60	0.2830675067
61	0.2830217147
62	0.2823025782
63	0.2817657256
64	0.2815567521
65	0.2812500802
66	0.2809838748
67	0.2806403908
68	0.280349003
69	0.2800951768
70	0.2795407908
71	0.2793534094
72	0.2790319988
73	0.2787967264
74	0.2785497952
75	0.2782372331
76	0.2780353042
77	0.277895947
78	0.2776272936
79	0.277353846
80	0.2769385249
81	0.276693308
82	0.2763059167
83	0.2758251023
84	0.2757046841
85	0.2756272284
86	0.2750479276
87	0.2748689744
88	0.2744032679
89	0.2740707875
90	0.2738950802
91	0.2734433535
92	0.2729474936
93	0.2726472299
94	0.2723783381
95	0.2721245361
96	0.271944473
97	0.2714123021
98	0.2711470756
99	0.2711414538
100	0.2711118385
101	0.2708591038
102	0.2706220146
103	0.2704233088
104	0.2704186189
105	0.2702309555
106	0.2699404184
107	0.2696859846
108	0.2695670665
109	0.2694044523
110	0.2694023126
111	0.2691268345
112	0.2687900999
113	0.2684921327
114	0.2684611298
115	0.2682419513
116	0.268034038
117	0.2676142679
118	0.2674050729
119	0.2672526774
120	0.2671349685
121	0.2668894433
122	0.266887341
123	0.2666674202
124	0.2665882882
125	0.2663554493
126	0.2662326894
127	0.2661598434
128	0.2660319988
129	0.2658361649
130	0.2655571902
131	0.2654925631
132	0.2653092959
133	0.2651605891
134	0.2650915454
135	0.2649896225
136	0.2648864062
137	0.2643622701
138	0.2639919673
139	0.263541786
140	0.2633934383
141	0.2632361348
142	0.2630921992
143	0.2629684311
144	0.2628101192
145	0.2623712324
146	0.2621982163
147	0.2620666784
148	0.2618261475
149	0.2616247722
150	0.2613145185
151	0.2611937103
152	0.2609539771
153	0.2608286608
154	0.2607855038
155	0.2606681582
156	0.2605460647
157	0.260506866
158	0.2601692482
159	0.2597020007
160	0.2594327601
161	0.2587463079
162	0.2586618781
163	0.2584376315
164	0.2581986865
165	0.2580969612
166	0.2580699148
167	0.2580050335
168	0.257906901
169	0.2578361037
170	0.2573931744
171	0.2573557704
172	0.2570807793
173	0.2568150848
174	0.256628881
175	0.2565797549
176	0.2561749852
177	0.255771325
178	0.2556562845
179	0.2555036813
180	0.2553730028
181	0.2553361865
182	0.2551039184
183	0.2548954193
184	0.2546204125
185	0.2545604313
186	0.2543542771
187	0.2542017679
188	0.2539089499
189	0.2538796142
190	0.2537879945
191	0.2535618372
192	0.25337078
193	0.2532584119
