iter	Passed	Remaining
0	7	7128
1	13	6727
2	20	6778
3	27	6860
4	34	6821
5	42	7009
6	49	7081
7	56	6995
8	63	6937
9	69	6868
10	75	6794
11	81	6747
12	88	6702
13	94	6658
14	101	6636
15	107	6590
16	114	6615
17	121	6608
18	127	6600
19	134	6611
20	141	6587
21	147	6578
22	153	6541
23	160	6527
24	167	6517
25	173	6491
26	180	6494
27	187	6498
28	194	6522
29	201	6507
30	209	6540
31	217	6566
32	223	6549
33	230	6535
34	236	6531
35	243	6514
36	249	6489
37	257	6529
38	264	6519
39	271	6508
40	277	6480
41	283	6469
42	290	6464
43	297	6466
44	303	6445
45	309	6425
46	316	6420
47	323	6406
48	329	6391
49	335	6379
50	342	6377
51	349	6369
52	355	6354
53	362	6344
54	368	6332
55	375	6326
56	381	6306
57	387	6296
58	394	6289
59	400	6278
60	407	6271
61	413	6258
62	419	6246
63	426	6235
64	432	6222
65	439	6215
66	445	6202
67	451	6189
68	457	6178
69	464	6176
70	472	6188
71	479	6177
72	485	6166
73	492	6165
74	499	6154
75	505	6146
76	511	6137
77	518	6134
78	525	6126
79	531	6117
80	539	6126
81	547	6128
82	554	6121
83	560	6111
84	566	6101
85	573	6090
86	579	6084
87	585	6071
88	592	6064
89	599	6056
90	605	6044
91	611	6039
92	618	6034
93	625	6026
94	631	6014
95	638	6013
96	647	6029
97	654	6020
98	661	6023
99	668	6018
100	676	6020
101	683	6018
102	691	6022
103	698	6018
104	706	6020
105	713	6019
106	721	6018
107	728	6018
108	736	6020
109	744	6020
110	752	6024
111	760	6028
112	768	6032
113	776	6033
114	784	6038
115	792	6042
116	800	6041
117	807	6035
118	815	6035
119	821	6023
120	828	6017
121	834	6008
122	841	6003
123	848	5993
124	854	5980
125	861	5976
126	869	5978
127	876	5971
128	883	5962
129	889	5956
130	896	5946
131	902	5935
132	909	5925
133	915	5916
134	922	5908
135	928	5897
136	934	5887
137	940	5874
138	946	5864
139	953	5855
140	959	5843
141	965	5833
142	973	5833
