iter	Passed	Remaining
0	16	16737
1	29	14838
2	42	13961
3	54	13464
4	66	13171
5	77	12918
6	89	12733
7	100	12444
8	110	12157
9	121	11981
10	131	11844
11	142	11692
12	151	11502
13	161	11379
14	172	11318
15	183	11260
16	193	11180
17	203	11122
18	214	11060
19	225	11040
20	235	10981
21	247	10982
22	258	10962
23	269	10963
24	280	10925
25	289	10856
26	299	10792
27	310	10763
28	320	10727
29	332	10743
30	342	10699
31	352	10661
32	359	10547
33	370	10524
34	381	10512
35	391	10491
36	401	10462
37	412	10434
38	422	10412
39	432	10377
40	442	10355
41	453	10348
42	463	10325
43	474	10303
44	484	10285
45	495	10270
46	505	10247
47	515	10221
48	525	10206
49	535	10179
50	546	10165
51	556	10149
52	566	10121
53	576	10102
54	588	10104
55	599	10106
56	609	10083
57	620	10071
58	630	10055
59	641	10044
60	651	10032
61	662	10024
62	673	10017
63	683	10000
64	694	9984
65	704	9976
66	715	9964
67	726	9951
68	736	9938
69	747	9933
70	758	9922
71	768	9906
72	779	9896
73	785	9829
74	795	9809
75	805	9789
76	814	9768
77	824	9749
78	834	9726
79	843	9704
80	853	9685
81	863	9662
82	872	9644
83	882	9627
84	893	9613
85	899	9556
86	909	9542
87	918	9519
88	928	9499
89	937	9474
90	945	9448
91	955	9431
92	964	9410
93	974	9395
94	988	9417
95	999	9411
96	1010	9405
97	1019	9386
98	1029	9367
99	1033	9299
100	1042	9282
101	1052	9263
102	1061	9241
103	1070	9223
104	1080	9208
105	1090	9193
106	1099	9178
107	1109	9164
108	1119	9153
109	1130	9144
110	1140	9131
111	1149	9117
112	1159	9100
113	1169	9087
114	1179	9073
115	1189	9064
116	1199	9054
117	1209	9039
118	1218	9021
119	1228	9007
120	1233	8957
121	1237	8905
122	1247	8894
123	1251	8841
124	1261	8828
125	1271	8817
126	1281	8805
127	1291	8795
128	1300	8780
129	1310	8768
130	1319	8754
131	1330	8746
132	1339	8734
133	1349	8719
134	1359	8708
135	1368	8696
136	1378	8685
137	1388	8674
138	1398	8663
139	1408	8650
140	1417	8637
141	1427	8625
142	1437	8614
143	1447	8601
144	1456	8589
145	1466	8578
146	1476	8565
147	1485	8550
148	1494	8536
149	1504	8524
150	1514	8513
151	1523	8502
152	1533	8491
153	1546	8494
154	1568	8551
155	1588	8594
